entity,weight,context
"Apr 19th, 2002",1,
19. Apr 02,1,
22/Apr/2022,1,
2022-04-22,1,
"Tirsdag, 28-Aug-07",1,
28-08-2007,1,
01/08/23,1,
August 01 2023,1,
"Onsdag, 19. Juni 1991",1,
19. Juni 1991,1,
"Torsdag, 23. Marts '17",1,
"23 Mar, 2017",1,
17. December 2002,1,
17/Dec/2002,1,
"Fredag, 06. April '18",1,
2018-04-06,1,
14/05/14,1,
"Maj 14th, 2014",1,
"Fredag, 07-Nov-03",1,
07-11-2003,1,
Oktober 23 2009,1,
"23 Okt, 2009",1,
"Torsdag, 04. Juni 2009",1,
04. Jun 09,1,
19/Okt/2012,1,
"19 Okt, 2012",1,
16. Nov 02,1,
16/11/02,1,
2000-11-02,1,
02-11-2000,1,
12. Januar 1991,1,
"Lørdag, 12. Januar 1991",1,
"Maj 27th, 1984",1,
Maj 27 1984,1,
"Lørdag, 23-Feb-08",1,
"Lørdag, 23. Februar '08",1,
Januar 08 2021,1,
"08 Jan, 2021",1,
"Fredag, 23-Nov-07",1,
23-11-2007,1,
22/06/75,1,
"Søndag, 22. Juni '75",1,
20. Maj 2002,1,
20/Maj/2002,1,
02. Dec 88,1,
"Dec 02th, 1988",1,
2007-09-23,1,
"Søndag, 23. September 2007",1,
14/Okt/2000,1,
14-10-2000,1,
07. Marts 2008,1,
Marts 07 2008,1,
18. Mar 08,1,
"Tirsdag, 18-Mar-08",1,
"Onsdag, 01. Juni '22",1,
"Onsdag, 01. Juni 2022",1,
"05 Jun, 1989",1,
"Jun 05th, 1989",1,
20/01/23,1,
2023-01-20,1,
15. Feb 10,1,
15/Feb/2010,1,
"22 Sep, 2021",1,
2021-09-22,1,
"Søndag, 08. December 2002",1,
08/12/02,1,
"Søndag, 17. November '74",1,
"Søndag, 17-Nov-74",1,
07. Februar 2014,1,
Februar 07 2014,1,
11-08-1998,1,
"Aug 11th, 1998",1,
15/Jan/2019,1,
"Tirsdag, 15. Januar '19",1,
"Onsdag, 14. Juni 2023",1,
"Onsdag, 14-Jun-23",1,
19-09-1972,1,
"Sep 19th, 1972",1,
31. Maj 82,1,
1982-05-31,1,
"25 Dec, 2014",1,
December 25 2014,1,
27/01/19,1,
27. Januar 2019,1,
"Lørdag, 23. Juli '88",1,
23-07-1988,1,
"Jan 25th, 2000",1,
2000-01-25,1,
"Tirsdag, 11. December 1979",1,
11. December 1979,1,
09/02/05,1,
09. Feb 05,1,
Juli 23 2018,1,
"23 Jul, 2018",1,
05/Apr/2022,1,
"Tirsdag, 05-Apr-22",1,
"Mar 25th, 2008",1,
"Tirsdag, 25. Marts '08",1,
25/Sep/1990,1,
"Tirsdag, 25-Sep-90",1,
"Mandag, 24. December 2012",1,
"24 Dec, 2012",1,
16. Sep 08,1,
16/09/08,1,
1989-05-16,1,
Maj 16 1989,1,
11. December 2002,1,
11-12-2002,1,
"Okt 24th, 2017",1,
24/10/17,1,
"Onsdag, 25. November '15",1,
"Onsdag, 25. November 2015",1,
08-02-1984,1,
08. Februar 1984,1,
"Onsdag, 15-Okt-86",1,
15/Okt/1986,1,
Juni 13 2019,1,
2019-06-13,1,
"06 Jul, 2017",1,
06. Jul 17,1,
"19 Jul, 2000",1,
"Onsdag, 19-Jul-00",1,
22/03/01,1,
"Torsdag, 22. Marts '01",1,
2001-12-23,1,
23/Dec/2001,1,
05-12-2013,1,
05. December 2013,1,
"Jun 14th, 2010",1,
Juni 14 2010,1,
"Lørdag, 01. December 2018",1,
01. Dec 18,1,
"Tirsdag, 18. Oktober 2022",1,
18. Oktober 2022,1,
10/Maj/2006,1,
"Onsdag, 10. Maj '06",1,
08. Jun 04,1,
"08 Jun, 2004",1,
April 25 2017,1,
25-04-2017,1,
