entity,weight,context
seksten procent,1,
94.63 %,1,
29 %,1,
65%,1,
nitten procent,1,
otte procent,1,
34 %,1,
17.03%,1,
halvfems procent,1,
26 %,1,
16%,1,
90 %,1,
40 %,1,
17.03 %,1,
28 %,1,
75 %,1,
57 %,1,
99%,1,
fem procent,1,
fjorten procent,1,
94.97 %,1,
84%,1,
52 %,1,
36.03%,1,
40 %,1,
77 %,1,
31 %,1,
15.02%,1,
49.88 %,1,
88 %,1,
6%,1,
74 %,1,
65 %,1,
94%,1,
64 %,1,
32 %,1,
17 %,1,
48.34 %,1,
34 %,1,
65 %,1,
5 %,1,
32 %,1,
seksten procent,1,
63%,1,
75 %,1,
nitten procent,1,
tres procent,1,
16 %,1,
69%,1,
2.16%,1,
12%,1,
94 %,1,
75 %,1,
54.96 %,1,
seks procent,1,
13%,1,
17%,1,
56 %,1,
32.94 %,1,
77 %,1,
18 %,1,
5%,1,
92.78 %,1,
tusind procent,1,
75 %,1,
82 %,1,
halvtreds procent,1,
69 %,1,
94.63 %,1,
8 %,1,
53 %,1,
13%,1,
32 %,1,
firs procent,1,
13 %,1,
71 %,1,
89 %,1,
26 %,1,
57 %,1,
53.73 %,1,
66%,1,
84.25 %,1,
seks procent,1,
tre procent,1,
halvtreds procent,1,
35 %,1,
35 %,1,
91%,1,
89 %,1,
36.03%,1,
39 %,1,
57 %,1,
69%,1,
98 %,1,
90 %,1,
65%,1,
45%,1,
51 %,1,
98.25 %,1,
48 %,1,
71 %,1,
87 %,1,
16 %,1,
9.85%,1,
99 %,1,
26.47 %,1,
52%,1,
57 %,1,
60 %,1,
32 %,1,
fjorten procent,1,
39 %,1,
94 %,1,
tolv procent,1,
sytten procent,1,
2 %,1,
88%,1,
sytten procent,1,
32.94 %,1,
nitten procent,1,
34 %,1,
atten procent,1,
tretten procent,1,
34 %,1,
75%,1,
64%,1,
17 %,1,
39 %,1,
10 %,1,
19 %,1,
tusind procent,1,
99 %,1,
84 %,1,
10 %,1,
tres procent,1,
94 %,1,
28 %,1,
38%,1,
95 %,1,
66%,1,
ni procent,1,
tusind procent,1,
70 %,1,
48.34 %,1,
53 %,1,
84 %,1,
halvfjerds procent,1,
40 %,1,
98.67%,1,
13 %,1,
77 %,1,
tretten procent,1,
98%,1,
4.34 %,1,
96 %,1,
98%,1,
fem procent,1,
39 %,1,
85 %,1,
22.71 %,1,
94.97%,1,
halvfems procent,1,
1 %,1,
82%,1,
32%,1,
9.85 %,1,
33.13 %,1,
60 %,1,
75%,1,
33 %,1,
halvfems procent,1,
97.0 %,1,
78.49 %,1,
6 %,1,
5 %,1,
91%,1,
seks procent,1,
33.13 %,1,
75%,1,
seks procent,1,
40 %,1,
halvfems procent,1,
29%,1,
25 %,1,
16 %,1,
6 %,1,
69.42 %,1,
26.3%,1,
57 %,1,
halvtreds procent,1,
halvfems procent,1,
firs procent,1,
9.85%,1,
48.11%,1,
26.3 %,1,
65 %,1,
67 %,1,
85%,1,
firs procent,1,
18 %,1,
1 %,1,
40%,1,
84 %,1,
86%,1,
22.71 %,1,
atten procent,1,
firs procent,1,
45 %,1,
31.11%,1,
95 %,1,
94.63 %,1,
71 %,1,
94 %,1,
atten procent,1,
95 %,1,
65 %,1,
tre procent,1,
26%,1,
38%,1,
tres procent,1,
ni procent,1,
halvtreds procent,1,
halvfems procent,1,
35 %,1,
89 %,1,
halvfems procent,1,
29 %,1,
ti procent,1,
ti procent,1,
atten procent,1,
36 %,1,
31 %,1,
76%,1,
86 %,1,
17%,1,
seks procent,1,
2 %,1,
99 %,1,
91%,1,
86%,1,
5 %,1,
et hundrede procent,1,
89 %,1,
77 %,1,
10 %,1,
16%,1,
15.02 %,1,
65 %,1,
tusind procent,1,
91 %,1,
45 %,1,
81.79%,1,
ti procent,1,
54.96 %,1,
54.96 %,1,
84 %,1,
95 %,1,
77 %,1,
50%,1,
4 %,1,
