entity,context,TYPE
Irakkrigen,,EVENT
krigen i Afghanistan,,EVENT
Kosovokrigen,,EVENT
Golfkrigen,,EVENT
Første Verdenskrig,,EVENT
1. Verdenskrig,,EVENT
1.Verdenskrig,,EVENT
Anden Verdenskrig,,EVENT
2. Verdenskrig,,EVENT
2.Verdenskrig,,EVENT
Den Kolde Krig,,EVENT
Koreakrigen,,EVENT
Napoleonskrigene,,EVENT
1. Slesviske krig,,EVENT
2. Slesviske krig,,EVENT
Trediveårskrigen,,EVENT
Slaget ved Dybbøl,,EVENT
Vietnamkrigen,,EVENT
Krystalnatten,,EVENT
9/11,terror attack,EVENT
11. september,terror attack,EVENT
terrorangrebet den 11. september 2001,,EVENT
finanskrisen,,EVENT
Human Genome Projektet,,EVENT
Sovjetunionens sammenbrud,,EVENT
Oklahoma City-Bombningen,,EVENT
coronapandemien,,EVENT
cornonaviruspandemien,,EVENT
Bhopaulykken,,EVENT
Tjernobylulykken,,EVENT
OL i Rio,,EVENT
OL 2016,,EVENT
De olympiske lege i Beijing,,EVENT
VM i Qatar,,EVENT
2000 Sydney OL,,EVENT
Wimbledon 2012,,EVENT
"VM i ishockey, Herning og København",,EVENT
Ryder Cup,,EVENT
Super Bowl XLV,,EVENT
Touren 2022,tour de france,EVENT
Cyklonen Bhola,,EVENT
Tsunamien i Indonesien,,EVENT
Cyklonen Nagir,,EVENT
Orkanen Sandy,,EVENT
Orkanen Igor,,EVENT
Olga,the storm,EVENT
udbytteskandalen,,EVENT
PFA-sagen,,EVENT
Hafnia-sagen,,EVENT
Folketingsvalget 2019,,EVENT
H.K.H. Prins Christians 18-års fødselsdag,,EVENT
nytårsaften,,EVENT
nytårsaften,,EVENT
nytårsaften,,EVENT
nytårsaften,,EVENT
nytårsaften,,EVENT
nytår,,EVENT
nytår,,EVENT
nytår,,EVENT
nytår,,EVENT
nytår,,EVENT
julefrokosten,,EVENT
juleaften,,EVENT
juleaften,,EVENT
juleaften,,EVENT
juleaften,,EVENT
juleaften,,EVENT
Brexit,,EVENT
Aalborg Karneval,,EVENT
Roskilde Festival,,EVENT
Smukfest,,EVENT
Grimfest,,EVENT
EM-slutrunde,,EVENT
VM-slutrunden,,EVENT
Klimatopmødet COP26,,EVENT
klimatopmødet COP24,,EVENT
COP20,,EVENT
X Games,,EVENT
Vildbjerg Cup,,EVENT
Fanø SummerCup,,EVENT
Copenhagen Pride,,EVENT
CPH halvmarathon,,EVENT
Tivolis Juleshow,,EVENT
jul,,EVENT
Storebæltsbroen,,FACILITY
Storebæltsbroen,,FACILITY
Storebæltsbroen,,FACILITY
Storebæltsbroen,,FACILITY
Storebæltsbroen,,FACILITY
Lillebæltsbroen,,FACILITY
Studstrupværket,,FACILITY
Lighthouse,,FACILITY
Københavns Rådhus,,FACILITY
Aarhus Domkirke,,FACILITY
Christiansborg,,FACILITY
Nikolaj Kirke,,FACILITY
Helligåndskirken,,FACILITY
Roskilde Domkirke,,FACILITY
Rosenborg Slot,,FACILITY
Magasin du Nord,,FACILITY
Pasteurs Tårn,,FACILITY
Herlev Hospital,,FACILITY
Bohrs Tårn,,FACILITY
Domus Vista,apartment complex,FACILITY
Øresundsbroerne,,FACILITY
Svendborgsundbroen,,FACILITY
Funder Ådalsbroen,,FACILITY
Limfjordsbroen,,FACILITY
Næstved Svingbro,,FACILITY
Den gamle Lillebæltsbro,,FACILITY
Silkeborgtunnellen,,FACILITY
Øresundstunnelen,,FACILITY
E45,highway,FACILITY
E39,highway,FACILITY
Frederikshavnmotorvejen,,FACILITY
Nordjyske Motorvej,,FACILITY
E47,highway,FACILITY
Motorring 4,,FACILITY
Aarhus Lufthavn,,FACILITY
Københavns Lufthavn,,FACILITY
CPH lufthavn,,FACILITY
Aalborg lufthavn,,FACILITY
Billund lufthavn,,FACILITY
BLL,airport,FACILITY
Målev flyveplads,,FACILITY
Almegårds Kaserne,,FACILITY
