;entities
0;['PERSON: Nina Bang']
1;['WORK OF ART: Kom Tilbage Nu', 'PERSON: Albert']
2;['QUANTITY: halvfems L', 'ORGANIZATION: Viaplay', 'GPE: Berlin']
3;['PERSON: MØ', 'PERCENT: 16%', 'QUANTITY: 5113 kg']
4;['LOCATION: Sjælland']
5;['PERSON: Egon', 'NORP: tyskere']
6;['GPE: Christiansfeld', 'QUANTITY: ni hundrede kilometer']
7;['PRODUCT: Skippers Lakridspibe', 'ORGANIZATION: Scandinavian Airlines', 'MONEY: 3574kr.']
8;['ORGANIZATION: BIF {football team}', 'TIME: 22:30:00', 'DATE: 30-03-71']
9;"['GPE: Toftlund', ""DATE: Torsdag, 08. September '16""]"
10;['NORP: dansker']
11;['PRODUCT: Apple Watch', 'PERSON: Gudrun I. Borup']
12;['GPE: Københavns']
13;['LOCATION: Lolland']
14;['TIME: to minutter', 'LAW: grundlovens paragraffer om menneskerettigheder (§§ 71-80)']
15;['EVENT: Dronningens 70-års-fødselsdag', 'LOCATION: Sydsjælland']
16;['NORP: Liberal Alliance']
17;['ORGANIZATION: Chelsea']
18;['PERSON: Asta Larsson Krogs']
19;['MONEY: 7576 euro']
20;['PERSON: Maya Sveistrup Kærgaards', 'LANGUAGE: italiensk', 'PERSON: Alan A. Ibrahim']
21;['FACILITY: Herlev Hospital']
22;['ORGANIZATION: Danske Spil']
23;['PERSON: Yassin']
24;['PERSON: Storm P.', 'CARDINAL: fem', 'MONEY: femten EUR']
25;['PERSON: Gerda Lie Kaas', 'WORK OF ART: Vildheks']
26;['PERCENT: 5%']
27;['WORK OF ART: »Vi Tager Fuglen på Dig« ', 'PERCENT: 34 %']
28;['PERSON: Pinocchio', 'QUANTITY: 267 kilometer']
29;['PRODUCT: AR-15 {weapon}', 'ORGANIZATION: Rema 1000']
30;['MONEY: 224 kr']
31;['LOCATION: Fyn', 'QUANTITY: 115 meter', 'LANGUAGE: tysk', 'ORGANIZATION: Fredericia Maskinmesterskole']
32;['EVENT: Utøya {massacre}', 'GPE: Singapore']
33;['FACILITY: Billund lufthavn', 'PERSON: Ulrikke True']
34;['PERSON: Elisabeth Bjerre Frederiksens']
35;['MONEY: 9359kroner']
36;['LOCATION: Bora Bora', 'LOCATION: Sydsjælland']
37;['QUANTITY: 13 kg']
38;['EVENT: Aarhus festuge']
39;['NORP: dansker', 'MONEY: 151 kroner']
40;['PRODUCT: Organic Thor Tee {t-shirt}', 'DATE: toårig', 'DATE: 11. Mar 90']
41;['QUANTITY: 1475 sømil', 'LANGUAGE: marathi']
42;['ORGANIZATION: Arizon Cardinals']
43;['QUANTITY: 87 meter']
44;['LAW: Lukkeloven', 'WORK OF ART: Let Your Fingers Do The Walking', 'QUANTITY: 193 mm']
45;['DATE: imorgen', 'GPE: San Marinos', 'PRODUCT: Fanta Exotic']
46;['GPE: Lithauen', 'PERSON: Caroline Nørbjerg Wiggers', 'GPE: Columbia']
47;['ORDINAL: 2.']
48;['DATE: 15 år', 'CARDINAL: en']
49;['PERCENT: halvtreds procent']
50;['DATE: 02. Maj 2013']
51;['ORGANIZATION: Coca-Cola']
52;['PRODUCT: Beyond burgerbøf', 'EVENT: fastelavn']
53;['GPE: Odense']
54;['MONEY: syv kroner', 'PERCENT: tretten procent', 'GPE: Danmarks']
55;['QUANTITY: 323 kilometer', 'PERSON: Oles']
56;['MONEY: 152kr', 'GPE: Kbh', 'TIME: eftermiddag']
57;['CARDINAL: 2', 'ORGANIZATION: Uno-X']
58;['PERSON: Jess Holmgaard', 'PERSON: Lulu V. Birk']
59;['QUANTITY: ni hundrede m', 'GPE: Paris', 'EVENT: 1.Verdenskrig']
60;['TIME: i morges']
61;['EVENT: Vietnamkrigen']
62;['MONEY: 115 kroner', 'ORGANIZATION: Nordjyske Medier', 'LAW: årsregnskabslovens § 3, stk. 1, nr. 4']
63;['LOCATION: Mors', 'QUANTITY: tre tusinde kilogram']
