entity,weight,context
13. Sep 19,1,
11. Mar 90,1,
17/08/95,1,
31/01/84,1,
25/05/12,1,
31/01/85,1,
08/06/17,1,
15/05/96,1,
26/12/96,1,
05/11/11,1,
11/12/16,1,
11/02/05,1,
09/09/05,1,
11/10/97,1,
01/11/13,1,
11/10/21,1,
12/10/15,1,
22. Oktober 1999,1,
04. November 1996,1,
13. Juli 1996,1,
01. Juni 2014,1,
06. August 2013,1,
14. Oktober 1992,1,
26. September 2000,1,
20. Januar 2009,1,
21. April 1999,1,
04. Juni 1979,1,
24. Februar 1996,1,
05. Februar 1976,1,
05. November 2010,1,
11. December 1984,1,
18. April 1989,1,
15. Februar 2018,1,
06. August 2007,1,
07. Juli 2013,1,
23. December 1979,1,
11. December 2001,1,
18. November 1984,1,
02. Maj 2013,1,
22. Februar 2000,1,
12. Oktober 1985,1,
19. Juni 1986,1,
Juli 26 1987,1,
Oktober 27 2014,1,
2001-07-04,1,
2013-02-03,1,
23-10-2004,1,
12-09-2013,1,
19-10-2003,1,
25-10-1980,1,
08-09-1987,1,
19-09-1992,1,
15-01-2023,1,
02-04-1974,1,
27-04-1984,1,
14-06-1993,1,
"10 Jun, 1975",1,
"10 Okt, 2000",1,
"Fredag, 31. Maj 2002",1,
"Fredag, 13. Januar 1978",1,
"Søndag, 08. December 1974",1,
"Tirsdag, 10. August 1999",1,
"Mandag, 24. Oktober 2022",1,
"Torsdag, 21. Maj 2015",1,
"Tirsdag, 20. Oktober 1992",1,
"Torsdag, 04. December 1975",1,
14/Aug/2018,1,
24/Maj/1984,1,
"Onsdag, 29-Jul-20",1,
"Lørdag, 01-Maj-99",1,
"Lørdag, 30. Juni '07",1,
"Mandag, 08. August '22",1,
"Torsdag, 08. September '16",1,
"Mandag, 14. August '95",1,
"Fredag, 25. Oktober '91",1,
23-10-92,1,
29-05-15,1,
28-06-97,1,
15-01-81,1,
10-11-70,1,
30-01-02,1,
30-03-71,1,
11-07-96,1,
2003,1,
2013,1,
2023,1,
1993,1,
1981,1,
2008,1,
1971,1,
2010,1,
2007,1,
1981,1,
2016,1,
2001,1,
2022,1,
2022,1,
2009,1,
2021,1,
1991,1,
1974,1,
1978,1,
2020,1,
Lørdag,1,
Fredag,1,
Lørdag,1,
Tirsdag,1,
Onsdag,1,
Onsdag,1,
Mandag,1,
Tirsdag,1,
Mandag,1,
Lørdag,1,
Søndag,1,
Torsdag,1,
Søndag,1,
Fredag,1,
Søndag,1,
Lørdag,1,
Lørdag,1,
Søndag,1,
Mandag,1,
Søndag,1,
Januar,1,
Marts,1,
April,1,
November,1,
November,1,
November,1,
Februar,1,
Marts,1,
Maj,1,
Marts,1,
December,1,
Juni,1,
April,1,
August,1,
Marts,1,
Maj,1,
September,1,
Oktober,1,
Marts,1,
April,1,
i morgen,1,
i morgen,1,
i morgen,1,
i morgen,1,
i morgen,1,
imorgen,1,
imorgen,1,
igår,1,
igår,1,
i går,1,
i går,1,
i går,1,
i går,1,
i går,1,
i dag,1,
i dag,1,
i dag,1,
i dag,1,
i dag,1,
idag,1,
idag,1,
næste uge,1,
næste uge,1,
næste måned,1,
næste måned,1,
næste år,1,
næste år,1,
overmorgen,1,
overmorgen,1,
overmorgen,1,
sidste uge,1,
sidste uge,1,
sidste måned,1,
sidste måned,1,
sidste år,1,
sidste år,1,
en måned,1,
en måned,1,
en måned,1,
en måned,1,
en måned,1,
to måneder,1,
to måneder,1,
9 måneder,1,
9 måneder,1,
elleve måneder,1,
elleve måneder,1,
en uge,1,
en uge,1,
fire uger,1,
fire uger,1,
fem-seks uger,1,
fem-seks uger,1,
18 uger,1,
18 uger,1,
1910'erne,1,
1910'erne,1,
firserne,1,
firserne,1,
90'erne,1,
90'erne,1,
1950'erne,1,
1950'erne,1,
et år,1,
et år,1,
et år,1,
et år,1,
et år,1,
15 år,1,
15 år,1,
3 år,1,
3 år,1,
syv år,1,
syv år,1,
ni år,1,
ni år,1,
10-årig,1,
10-årig,1,
tolvårig,1,
toårig,1,
femårig,1,
halvtredsårig,1,
8-11-årige,1,
+18 år,1,
+16 år,1,
