entity,weight,context
193 dusin,1,
7690 snes,1,
tre tusinde tomme,1,
1475 sømil,1,
95hektar,1,
tyve hundrede ppm,1,
113 mm,1,
55 mm,1,
259 mm,1,
193 mm,1,
295 mm,1,
108 millimeter,1,
96millimeter,1,
310 millimeter,1,
87 millimeter,1,
278 millimeter,1,
161 cm,1,
218 cm,1,
7649cm,1,
151 cm,1,
163 cm,1,
196 centimeter,1,
213 centimeter,1,
244 centimeter,1,
tre centimeter,1,
208centimeter,1,
252 dm,1,
tolv decimeter,1,
3075 m,1,
40m,1,
33 m,1,
96 m,1,
120m,1,
107 m,1,
326 m,1,
ni hundrede m,1,
atten m,1,
78 m,1,
sytten meter,1,
2597 meter,1,
326 meter,1,
244 meter,1,
99 meter,1,
96 meter,1,
55 meter,1,
87 meter,1,
61 meter,1,
otte tusinde meter,1,
9539meter,1,
224meter,1,
109 meter,1,
78 meter,1,
135meter,1,
196meter,1,
2599meter,1,
7 meter,1,
115 meter,1,
sytten meter,1,
2597 dekameter,1,
301 hm,1,
176hektometer,1,
33 km,1,
155 km,1,
155 km,1,
295 km,1,
203 km,1,
217 km,1,
261 km,1,
55km,1,
89km,1,
323 km,1,
178 KM,1,
halvfems hundrede KM,1,
32KM,1,
185KM,1,
68 KM,1,
267 kilometer,1,
ni hundrede kilometer,1,
259 kilometer,1,
halvfems kilometer,1,
1475 kilometer,1,
252 kilometer,1,
196 kilometer,1,
35kilometer,1,
323 kilometer,1,
295 kilometer,1,
152 kvadratmeter,1,
7690 kvadratmeter,1,
fjorten kvadratmeter,1,
196 kvadratmeter,1,
32 kvadratmeter,1,
147kvm,1,
273kvm,1,
ni kvm,1,
176 kvm,1,
176 kvm,1,
290 m^2,1,
firs km^2,1,
to tusinde kvadratkilometer,1,
14 kubikmeter,1,
109 m^3,1,
halvfjerds hundrede liter,1,
seksten liter,1,
25 liter,1,
196liter,1,
152 liter,1,
halvfjerds hundrede liter,1,
161liter,1,
4 liter,1,
halvfjerds hundrede liter,1,
275 liter,1,
259L,1,
29 L,1,
96 L,1,
332 L,1,
96L,1,
58L,1,
halvfems L,1,
312 L,1,
68 L,1,
67 L,1,
tre tusinde milliliter,1,
55milliliter,1,
113 milliliter,1,
syv milliliter,1,
332milliliter,1,
185 ml,1,
334 ml,1,
337ml,1,
332 ml,1,
to ml,1,
tre mL,1,
halvfems hundrede mL,1,
241 mL,1,
tres mL,1,
295 mL,1,
77 centiliter,1,
89 centiliter,1,
34centiliter,1,
4 centiliter,1,
76 centiliter,1,
fjorten hundrede cl,1,
9245 cl,1,
196 cl,1,
nitten cl,1,
147 cl,1,
65CL,1,
95 pund,1,
61 kilogram,1,
tre tusinde kilogram,1,
193 kilogram,1,
72 kilogram,1,
334 kilogram,1,
3075 kg,1,
2599 kg,1,
78kg,1,
femten kg,1,
13 kg,1,
267 kg,1,
halvfems hundrede kg,1,
7360 kg,1,
5113 kg,1,
267 kg,1,
176 KG,1,
295 KG,1,
259 KG,1,
205 KG,1,
329 gram,1,
334 gram,1,
259 gram,1,
tretten millioner gram,1,
120 gram,1,
35 gram,1,
3075 gram,1,
259 gram,1,
tre tusinde gram,1,
219 gram,1,
5113 g,1,
firs millioner g,1,
337 g,1,
7360 g,1,
2597 g,1,
275 milligram,1,
fjorten millioner milligram,1,
203 milligram,1,
55 mg,1,
65mg,1,
halvfems hundrede mg,1,
259 karat,1,
atten joule,1,
261 j,1,
halvfjerds hundrede kilowatt-timer,1,
5080kWh,1,
nitten millioner kwh,1,
130 celsius,1,
252 fahrenheit,1,
tretten hundrede ton,1,
80tons,1,
313 t,1,
4 °c,1,
